subject,reading,part_of_speech,definition,explanation,JLPT
飽くまでも,あくまでも,,"To the (bitter) end, Stubbornly, Persistently","飽 く is the old-fashioned and somewhat poetic version of 飽 きる the る-Verb meaning 'to tire of (A)', or 'to get sick of (A)'. When used in conjunction with the adverbial particles まで 'until', and も 'even', 飽 くまでも will imply that (A) is being done 'persistently', 'stubbornly', or 'to the bitter end'. The more literal translation of 'to continue (A) even to the point of getting tired of it' fits these interpretations quite well. 飽 くまでも will often come at the beginning of sentences before going on to describe that thing that is being done persistently. も is not required, and 飽 くまで may sometimes be seen without it. However, as the phrase is quite strong, it is far more common for も to be included to highlight the emphasis. Due to the persistence that the verb 飽 く itself can highlight, it will often be seen together in sentences that include words like つもり 'intention', to show that someone intends to do something regardless of the consequences. Despite 飽 くまで being a combination of 飽 く and まで, it will appear in most dictionaries as a standalone adverb in modern Japanese.",N1
挙句,あげく,,"After, In the end, After all, Eventually","挙句 'in the end', is a noun used in Japanese to express a negative result that occurs, despite a considerable amount of time, effort, or resources that was put into (A). あげく will often be used in situations where the escalating situation of (A) somehow caused or prompted the negative result of (B). あげく will appear after the past-tense form of verbs, or after nouns followed by の. Alternatively, あげく may be used to express some sort of troublesome or negative process that led to the conclusion of (B). In these cases, the outcome itself may not be undesirable, but arriving at that result of (B) somehow was. Caution あげく will most often be in hiragana, but the forms 挙句 and 挙 げ 句 are also quite common. Fun-fact 挙句 originally referred to the final line of a 連歌 (a form of early Japanese poetry), and literally means 'the tying up phrase', or 'the concluding phrase'.",N2
あげる,あげる,v-unspec,"To give (away), To present, To provide","あげる is a verb with many uses in Japanese. It's original meaning is 'to raise', but is also used as a polite speech way of saying 'to give'. In this way it can be thought of as similar to 'to offer up' in English. As polite speech has the same basic subject and object rules as standard speech, the giver will be marked with は or が , while the recipient will be marked with に . As usual, the 'object' that is being given will be marked with を . From these three examples, we can see that the order of 'giver', 'recipient', and 'object' does not matter, so long as the correct particles are used. Caution あげる should not be used when giving something to someone of a higher status, or when lowering oneself to elevate another. This is done through honorific language , or humble speech , and will use different verbs. Fun Fact Although あげる is considered polite speech, it is the most natural way of saying 'to give'. やる is the 'casual' equivalent of あげる , but due to やる sounding a little bit rough, あげる became the standard.",N5
あそこ,あそこ,n,Over there,"Like ここ and そこ , あそこ is a word that is used to identify a place in Japanese. The place that あそこ will be used to identify is somewhere that is separated from both the speaker and the listener. This translates roughly to 'that place over there' in English. あそこ can be used to identify both physical locations, and emotional ones. In the same way that あれ can be used to point back to something that was mentioned previously, あそこ can be used to point back to a place that was mentioned previously. However, unlike それ or そこ , あれ and あそこ will only be used this way when both the speaker and listener have intimate knowledge of the topic. Caution あそこ should not be confused with あっち, a similar word which is also sometimes translated as 'over there'. あっち focuses more on the direction that one is/is going, while あそこ focuses purely on 'that place'.",N5
あっての,あっての,,"Exist only because of or due to, Owe everything to","あっての is a pattern which emphasizes that (B) is something that only exists because of (A). It will often be translated as '(B) owes everything to (A)', or '(B) existing is only due to (A)'. This structure is a combination of the う-Verb ある 'to be' in its て-form, and the case-marking particle の. あっての will be preceded and followed directly by nouns, where the first noun is (A), and the second noun is (B). あっての will primarily be used when (B) is something that benefits positively from (A), and therefore is showing or should show some kind of gratitude toward it. Occasionally, the case-marking particle が will come between the (A) noun and あっての . However, it is often omitted. Fun Fact あっての can be thought of as an evolution of the basic grammar structure がある 'to have'. The main difference being that の allows (B) to be marked as the thing that has (A), while the て-form indicates that there is more information that will be given later about why this is important. Due to this information that comes later being important, (B) will almost always be followed by structures like から, or ので.",N1
後で,あとで,,"After, Later","In Japanese, あとで is a combination of the noun 後 (behind), and the particle で (with). When these words are linked, they form an adverbial phrase which is used to express 'after', or 'later'. As with で 's standard meaning of 'with', あとで is simply highlighting that something will happen, 'with' the 'after/behind' part of something. To use あとで , attach it to the end of any past-tense verb, noun followed by の , or verb followed by のは (nominalization). Fun Fact The reason that 後 is translated as both 'after', and 'behind', is because sequences of events in Japanese behave similarly to a train. When the head of the train (one action) passes a specific point, there are still potentially many carriages (other actions) coming 'after', or 'behind' it. 後 で may also be used to alter the meaning of an entire phrase, by appearing at the front. This nuance is just that (A) will happen (at some point) after now.",N4
あの,あの,n,That (over there),"あの is classified as a ' pre-noun adjectival ' in Japanese. These are a special type of word that do not conjugate. This means that they will always appear in the same form. あの comes from the same family of words as あれ and あそこ , and is used to identify a 'thing' that is away from both the listener, and the speaker. It is usually translated as 'that' (thing over there). As the name ' pre-noun adjectival ' suggests, these words will always appear before a noun, and describe that noun in some way.",N5
余りに,あまりに,,"So much...that, (Way) too...","Being the adverbial form of 余 る 'excess', あまりに is a grammar structure that is used to convey an 'excessive' amount of something that caused a certain result. あまりに will almost always be used in sentences expressing some sort of surprise/shock about the degree of (A). Often, あまりに is translated simply as 'so much (A) that (B)', or 'way too much (A)'. In the last example, we can see that あまり will be followed by の when linked to a noun. Occasionally, にも will be used instead of に . This just emphasizes the 'excess' of (A) further. As the literal meaning of あまりに is quite close to 'excessively', it may be easier to remember this translation, rather than 'so much (A) that (B)'. Usually, 'it is excessively (A), so (B)' will cover most possible nuances. Caution あんまり is a colloquial variant of あまり that is often said, but should be avoided in any form of formal/official writing.",N3
余り～ない,あまり～ない,,"Not very, Not much, Not really, Hardly","あまり is a very flexible word in Japanese, that is used in several different grammar points. When paired with the ない form of a word, it translates to 'not very (A)', or 'hardly (A)'. To pair あまり (or the casual form, あんまり ) with another word, we just need to place it at the beginning of a phrase, or directly before the ない statement. Fun Fact Although あまり～ない is regularly translated as 'not very' the literal translation is closer to 'not excessively (A)'. This is due to 余 り (the kanji which this word comes from), meaning 'excessive', or 'to be in excess'. あまり has this meaning of 'excessive' in all of its grammar points, and the nuance will only change based on whether the sentence itself is positive (does not use ない), or negative (uses ない).",N4
余り,あまり,,So much...that,"As a noun , あまり means 'excess', and refers to an amount of something that is in surplus. This noun is quite often used after many different types of words, to indicate that something happened/exists to an excessive degree (which then resulted in something negative occurring). By itself, 余 り is not negative. However, this grammar point can be thought of as a set phrase that is generally used in negative situations. To use あまり, you will need to attach it to the end of the following structures. A verb, an い-Adjective (that has been turned into a noun through the use of さ or み) followed by の, a な-Adjective followed by な, or a noun followed by の. Then, after あまり, a (B) phrase will highlight what the negative result was. Caution The tense of the overall sentence will be dependent on the first clause. Therefore, it is common to see the verb before あまり being used in several different tenses.",N3
